sku,invoice_qty,unit_cost_usd
ORSE317,10,3.85
ORSE320,9,12.24
ORSE321,10,3.40
ORSE322,10,2.49
ORSE323,10,2.49
ORSE326,10,5.10
ORSE327,9,5.22
ORSE329,10,4.99
ORSE331-P,10,3.40
ORSE331-R,10,3.40
ORSE332-4mm,15,2.90
ORSE333-P-W,10,9.30
ORSE333-P-F,10,9.52
ORSE335-P,15,3.36
ORSE336-P,15,9.98
ORSE337,10,6.31
OREQE01,10,3.51
OREQE02,10,3.29
OREQE04,15,6.24
OREQE09,15,3.85
OREQE10,10,3.40
OREQE18,10,4.67
OREQE19,15,6.44
OREQE20,10,8.82
OREQE21,16,6.44
OREQE23,10,4.42
OREQE24,10,6.80
OREQE25,10,4.42
OREQE28-P,10,4.08
OREQE33,10,7.03
ORGPE01,10,4.92
ORGPE03,10,4.20
ORGPE04,15,5.90
ORAPE01,10,2.95
ORAPE02,10,2.74
ORAPE04,10,2.27
ORAPE05,10,2.83
ORAPE06,10,2.49
ORAPE07,10,2.72
ORAPE09,10,2.54
ORAPE10,10,2.77
ORAPE11,10,2.27
ORAPE12,10,2.99
ORAPE15,10,3.33
ORAPE16,10,2.83
ORAPE17,10,3.31
ORAPE23,10,4.10
ORAPE13,10,3.54
ORAPE19,10,4.83
ORAPE20,10,4.60
ORAPE21,10,3.29
ORHAPE27-P,10,1.38
ORHAPE27-G,10,1.38
ORHAPE28-P,10,1.41
ORHAPE28-G,10,1.41
ORHAPE29-P,10,1.41
ORHAPE29-G,10,1.41
ORGCB11-18K,30,6.21
ORGCB12-18K,30,5.12
ORGCB18,30,5.45
ORGCB19-18K,15,6.13
ORGCB19-P,15,6.13
ORGCB20-18K,15,5.75
ORGCB20-P,15,5.75
ORGCB21-18K,15,7.65
ORGCB21-P,15,7.65
ORGCB22-18K,15,4.34
ORGCB22-P,14,4.34
ORGCB23-18K,15,4.99
ORGCB23-P,15,4.99
ORGCB24-18K,15,5.25
ORGCB24-P,15,5.25
ORGCB26-18K,15,5.10
ORGCB26-P,13,5.10
ORGCB28-18K,15,5.35
ORGCB28-P,15,5.35
ORGCB29-18K,15,4.21
ORGCB29-P,14,4.21
ORGCB30-18K,15,6.03
ORGCB30-P,15,6.03
ORGSB106-P-180,30,47.43
ORGSB106-P-190,30,48.79
ORGPN13,15,7.13
ORGPB01,15,4.83
ORGPB02,15,4.37
ORGPE05,15,5.52
ORGPN14,15,11.51
ORGPE06,15,5.29
ORSMN30,20,29.25
ORSWE13,14,27.21
ORSMR69,24,21.01
ORSMN45,20,23.34
ORGSB114-195,29,48.68
ORGSB114-205,27,50.63
ORGSN305-W,26,13.99
ORGSN305-B,11,13.99
ORGSN305-C,26,13.99
ORGCB177,28,5.62
ORGCB109,28,15.58
ORGCB110,27,3.05
ORSE107-R,8,3.08
ORSN15,10,6.99
ORSE89,1,4.96
