"sku","product","handle","pid","vid","variant","price","vendor","ptype"
"ORCB122","Witch Hat Charm, Rose Gold","witch-hat-charm-rose-gold","10436317020450","52222109581602","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB120","Angel Wing Charm","angel-wing-charm","10436316987682","52222109548834","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB125","Basketball Charm","basketball-charm","10436317151522","52222110007586","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB124","Clover Charm, Purple","clover-charm-purple","10436317118754","52222109974818","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB123","Horse Charm","horse-charm","10436317085986","52222109942050","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB127","Rabbit and Strawberry Charm","rabbit-and-strawberry-charm","10436317249826","52222110138658","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB126","Cactus Charm","cactus-charm","10436317184290","52222110040354","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB13","Girl Charm","girl-charm","10436317413666","52222110302498","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB129","Two Cats and Moon Charm","two-cats-and-moon-charm","10436317380898","52222110269730","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB128","Ladybird Charm","ladybird-charm","10436317282594","52222110171426","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB136","Camera Charm, Pink","camera-charm-pink","10436317479202","52222110368034","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB135","Medical Chart Charm","medical-chart-charm","10436317446434","52222110335266","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB138","Lucky Clover Heart Charm","lucky-clover-heart-charm","10436317544738","52222110433570","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB137","Elephant Charm, Pink and Green","elephant-charm-pink-and-green","10436317511970","52222110400802","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB140","Rainbow Charm","rainbow-charm","10436317643042","52222110531874","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB14","Couple in a Boat Charm","couple-in-a-boat-charm","10436317610274","52222110499106","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB139","Sunflower Charm","sunflower-charm","10436317577506","52222110466338","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB144","Best Friends Charm","best-friends-charm","10436317741346","52222110630178","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB142","Mermaid Charm","mermaid-charm","10436317708578","52222110597410","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB149","Giraffe Charm","giraffe-charm","10436317872418","52222110761250","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB146","Ship's Wheel Charm","ships-wheel-charm","10436317839650","52222110728482","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB145","Daisy Charm, Gold and White","daisy-charm-gold-and-white","10436317774114","52222110662946","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB150","Lucky Star Charm, Gold","lucky-star-charm-gold","10436317937954","52222110826786","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB15","Footballer Charm","footballer-charm","10436317905186","52222110794018","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB153","Flower Heart Charm","flower-heart-charm","10436318036258","52222110925090","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB152","Stars and Moon Charm, Blue","stars-and-moon-charm-blue","10436318003490","52222110892322","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB151","Sunflower Charm, Gold","sunflower-charm-gold","10436317970722","52222110859554","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB155","Cocktail Charm","cocktail-charm","10436318101794","52222110990626","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB154","I Love My Family Charm","i-love-my-family-charm","10436318069026","52222110957858","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB159","Cool Drink Charm","cool-drink-charm","10436318200098","52222111088930","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB157","Heartbeat Charm","heartbeat-charm","10436318167330","52222111056162","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB156","Shopping Bag Charm","shopping-bag-charm","10436318134562","52222111023394","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB160","Casino Charm","casino-charm","10436318363938","52222111514914","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB16","Gondola Charm","gondola-charm","10436318331170","52222111449378","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB163","Hot Air Balloon Charm","hot-air-balloon-charm","10436318495010","52222112432418","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB162","Wristwatch Charm","wristwatch-charm","10436318462242","52222112399650","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB161","Gift Box Charm","gift-box-charm","10436318429474","52222111580450","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB165","Ice Lolly Charm","ice-lolly-charm","10436318560546","52222112497954","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB164","Birthday Cake Charm","birthday-cake-charm","10436318527778","52222112465186","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB168","Cow Charm","cow-charm","10436318626082","52222112563490","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB166","Carrot Charm","carrot-charm","10436318593314","52222112530722","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB170","Police Box Charm","police-box-charm","10436318724386","52222112661794","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB17","Sisters Charm","sisters-charm","10436318691618","52222112629026","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB169","Pony Charm","pony-charm","10436318658850","52222112596258","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB174","Handbag Charm","handbag-charm","10436318855458","52222112825634","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB173","Planet Charm","planet-charm","10436318822690","52222112760098","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB171","Umbrella Charm","umbrella-charm","10436318757154","52222112694562","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB177","Ice Cream Cart Charm","ice-cream-cart-charm","10436318986530","52222112956706","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB175","Treble Clef Charm","treble-clef-charm","10436318953762","52222112923938","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB18","Folk Costume Couple Charm","folk-costume-couple-charm","10436319052066","52222113022242","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB179","Panda Charm","panda-charm","10436319019298","52222112989474","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB183-A","Letter A Charm","letter-a-charm","10436319314210","52222113284386","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB182","Puzzle Cube Charm","puzzle-cube-charm","10436319248674","52222113218850","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB180","Crowned Shield Charm","crowned-shield-charm","10436319117602","52222113087778","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB183-C","Letter C Charm","letter-c-charm","10436319478050","52222113448226","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-B","Letter B Charm","letter-b-charm","10436319379746","52222113382690","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-F","Letter F Charm","letter-f-charm","10436319674658","52222113644834","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-E","Letter E Charm","letter-e-charm","10436319609122","52222113579298","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-D","Letter D Charm","letter-d-charm","10436319543586","52222113513762","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB183-H","Letter H Charm","letter-h-charm","10436319871266","52222113841442","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB183-G","Letter G Charm","letter-g-charm","10436319740194","52222113710370","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-J","Letter J Charm","letter-j-charm","10436320035106","52222114005282","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB183-I","Letter I Charm","letter-i-charm","10436319969570","52222113939746","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-M","Letter M Charm","letter-m-charm","10436320231714","52222114201890","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-L","Letter L Charm","letter-l-charm","10436320166178","52222114103586","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-K","Letter K Charm","letter-k-charm","10436320100642","52222114070818","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB183-O","Letter O Charm","letter-o-charm","10436320330018","52222114300194","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-N","Letter N Charm","letter-n-charm","10436320297250","52222114267426","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-R","Letter R Charm","letter-r-charm","10436320428322","52222114398498","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-Q","Letter Q Charm","letter-q-charm","10436320395554","52222114365730","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-P","Letter P Charm","letter-p-charm","10436320362786","52222114332962","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-T","Letter T Charm","letter-t-charm","10436320493858","52222114464034","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-S","Letter S Charm","letter-s-charm","10436320461090","52222114431266","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-W","Letter W Charm","letter-w-charm","10436320592162","52222114660642","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-V","Letter V Charm","letter-v-charm","10436320559394","52222114627874","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-U","Letter U Charm","letter-u-charm","10436320526626","52222114595106","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-Y","Letter Y Charm","letter-y-charm","10436320756002","52222114824482","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB183-X","Letter X Charm","letter-x-charm","10436320657698","52222114726178","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB20","Easter Basket Charm","easter-basket-charm","10436320854306","52222114922786","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB199","Tree of Life Charm, Pink and Purple","tree-of-life-charm-pink-and-purple","10436320821538","52222114890018","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB183-Z","Letter Z Charm","letter-z-charm","10436320788770","52222114857250","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB201","Tree of Life Charm, Pave Halo","tree-of-life-charm-pave-halo","10436320919842","52222114988322","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB200","Tree of Life Heart Charm","tree-of-life-heart-charm","10436320887074","52222114955554","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB203","Tree of Life Charm, Celtic Knot","tree-of-life-charm-celtic-knot","10436320985378","52222115053858","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB202","Tree of Life Charm, Engraved","tree-of-life-charm-engraved","10436320952610","52222115021090","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB206","Tree of Life Charm, Oxidized","tree-of-life-charm-oxidized","10436321116450","52222115184930","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB205","Tree of Life Charm, Scrolled","tree-of-life-charm-scrolled","10436321050914","52222115119394","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB204","Tree of Life Heart Charm, Stone Set","tree-of-life-heart-charm-stone-set","10436321018146","52222115086626","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB209","Tree of Life Heart Charm, Turquoise","tree-of-life-heart-charm-turquoise","10436321247522","52222115447074","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB208","Tree of Life Heart Charm, Red","tree-of-life-heart-charm-red","10436321214754","52222115381538","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB211","Tree of Life Heart Dangle, Pink","tree-of-life-heart-dangle-pink","10436321345826","52222115545378","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB210","Tree of Life Dangle, Scrolled","tree-of-life-dangle-scrolled","10436321313058","52222115512610","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB21","Palm Tree Charm","palm-tree-charm","10436321280290","52222115479842","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB213","Tree of Life Dangle, Beaded Ring","tree-of-life-dangle-beaded-ring","10436321411362","52222115610914","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB212","Tree of Life Dangle, Blue Stones","tree-of-life-dangle-blue-stones","10436321378594","52222115578146","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB215","Flamingo Charm, Magenta","flamingo-charm-magenta","10436321476898","52222115676450","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB214","Flamingo Charm","flamingo-charm","10436321444130","52222115643682","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB218","Dinosaur Charm","dinosaur-charm","10436321575202","52222115774754","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB217","Camel Charm","camel-charm","10436321542434","52222115741986","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB216","Flamingo Charm, Pale Pink","flamingo-charm-pale-pink","10436321509666","52222115709218","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB22","Daisy Heart Charm","daisy-heart-charm","10436321640738","52222115840290","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB219","Rubber Duck Charm","rubber-duck-charm","10436321607970","52222115807522","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB23","Daisy Heart Dangle","daisy-heart-dangle","10436321804578","52222116004130","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB221","Carousel Horse Charm","carousel-horse-charm","10436321771810","52222115971362","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB220","Giraffe Charm, Brown Spots","giraffe-charm-brown-spots","10436321673506","52222115873058","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB26","Coffee Cup Charm","coffee-cup-charm","10436321935650","52222116135202","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB25","Christmas Sleigh Charm","christmas-sleigh-charm","10436321902882","52222116102434","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB29","Engagement Ring Charm","engagement-ring-charm","10436322066722","52222116430114","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB28","Champagne Toast Charm","champagne-toast-charm","10436322033954","52222116266274","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB27","Cupcake Charm","cupcake-charm","10436322001186","52222116200738","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB32-Agr","Aquarius Zodiac Charm","aquarius-zodiac-charm","10436322165026","52222116528418","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB30","Baby Pram Charm","baby-pram-charm","10436322132258","52222116495650","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB32-Ari","Aries Zodiac Charm","aries-zodiac-charm","10436322197794","52222116561186","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB32-Gem","Gemini Zodiac Charm","gemini-zodiac-charm","10436322296098","52222116659490","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB32-Cnc","Cancer Zodiac Charm","cancer-zodiac-charm","10436322263330","52222116626722","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB32-Cap","Capricorn Zodiac Charm","capricorn-zodiac-charm","10436322230562","52222116593954","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB32-Lib","Libra Zodiac Charm","libra-zodiac-charm","10436322361634","52222116725026","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB32-Leo","Leo Zodiac Charm","leo-zodiac-charm","10436322328866","52222116692258","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB32-Sgr","Sagittarius Zodiac Charm","sagittarius-zodiac-charm","10436322459938","52222116823330","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB32-Sco","Scorpio Zodiac Charm","scorpio-zodiac-charm","10436322427170","52222116790562","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB32-Psc","Pisces Zodiac Charm","pisces-zodiac-charm","10436322394402","52222116757794","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB32-Vir","Virgo Zodiac Charm","virgo-zodiac-charm","10436322525474","52222116888866","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB32-Tau","Taurus Zodiac Charm","taurus-zodiac-charm","10436322492706","52222116856098","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB33-G","August Birthstone Charm, Peridot","august-birthstone-charm-peridot","10436322689314","52222117052706","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB33-F","October Birthstone Charm, Tourmaline","october-birthstone-charm-tourmaline","10436322656546","52222117019938","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB33-BL","September Birthstone Charm, Sapphire","september-birthstone-charm-sapphire","10436322558242","52222116921634","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB33-LV","May Birthstone Charm, Emerald","may-birthstone-charm-emerald","10436322754850","52222117118242","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB33-L","December Birthstone Charm, Turquoise","december-birthstone-charm-turquoise","10436322722082","52222117085474","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB33-PL","June Birthstone Charm, Alexandrite","june-birthstone-charm-alexandrite","10436322853154","52222117216546","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB33-P","February Birthstone Charm, Amethyst","february-birthstone-charm-amethyst","10436322820386","52222117183778","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB33-M","July Birthstone Charm, Ruby","july-birthstone-charm-ruby","10436322787618","52222117151010","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB33-R","January Birthstone Charm, Garnet","january-birthstone-charm-garnet","10436322984226","52222117347618","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB33-Q","March Birthstone Charm, Aquamarine","march-birthstone-charm-aquamarine","10436322885922","52222117249314","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB33-X","November Birthstone Charm, Yellow Topaz","november-birthstone-charm-yellow-topaz","10436323049762","52222117413154","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB33-W","April Birthstone Charm, White","april-birthstone-charm-white","10436323016994","52222117380386","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB36","Crystal Cluster Charm, Blue","crystal-cluster-charm-blue","10436323180834","52222117544226","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB35","Four Leaf Clover Charm","four-leaf-clover-charm","10436323148066","52222117511458","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB34","Openwork Hearts Charm, Pink","openwork-hearts-charm-pink","10436323115298","52222117478690","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB38","Butterfly Charm, Light Blue","butterfly-charm-light-blue","10436323279138","52222117642530","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB37","Heart Charm, Light Blue Enamel","heart-charm-light-blue-enamel","10436323246370","52222117609762","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB41","Love Padlock Charm, Blue","love-padlock-charm-blue","10436323377442","52222117740834","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB40","Red Rose Charm","red-rose-charm","10436323344674","52222117708066","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB39","Primrose Charm, Light Blue","primrose-charm-light-blue","10436323311906","52222117675298","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB43","Cherry Blossom Charm, Pink","cherry-blossom-charm-pink","10436323442978","52222117806370","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB42","Butterfly Charm, Pink","butterfly-charm-pink","10436323410210","52222117773602","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB46","Sunglasses Charm","sunglasses-charm","10436323541282","52222117904674","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB45","Daisy Charm, Pink","daisy-charm-pink","10436323508514","52222117871906","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB44","Pave Heart Charm, Pink","pave-heart-charm-pink","10436323475746","52222117839138","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB48","Baby Shoe Charm, Blue","baby-shoe-charm-blue","10436323639586","52222118002978","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB47","Teddy Bear Charm","teddy-bear-charm","10436323606818","52222117970210","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB51","Royal Carriage Charm","royal-carriage-charm","10436323737890","52222118101282","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB50","Dragonfly Crystal Charm","dragonfly-crystal-charm","10436323705122","52222118068514","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB49","Linked Hearts Charm","linked-hearts-charm","10436323672354","52222118035746","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB53","Angel Pearl Charm","angel-pearl-charm","10436323836194","52222118428962","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB52","Blossom and Butterfly Charm","blossom-and-butterfly-charm","10436323803426","52222118363426","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB55","Dreamcatcher Charm","dreamcatcher-charm","10436323934498","52222118494498","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB54","Devil Pearl Charm","devil-pearl-charm","10436323901730","52222118461730","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB59","Takeaway Coffee Charm","takeaway-coffee-charm","10436324065570","52222118625570","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB58","Scissors and Comb Charm","scissors-and-comb-charm","10436324000034","52222118560034","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB56","Crown Charm","crown-charm","10436323967266","52222118527266","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB61","Origami Crane Charm","origami-crane-charm","10436324163874","52222118789410","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB60","Owl Charm, Turquoise","owl-charm-turquoise","10436324131106","52222118691106","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB64","Sunglasses and Stiletto Charm","sunglasses-and-stiletto-charm","10436324327714","52222118887714","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB63","Puzzle Heart Charm","puzzle-heart-charm","10436324294946","52222118854946","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB62","Family Tree Charm","family-tree-charm","10436324262178","52222118822178","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB66","Violin Charm","violin-charm","10436324426018","52222118986018","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB65","Flamingo Charm, Pink","flamingo-charm-pink","10436324360482","52222118920482","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB71","Key Charm, Red Enamel","key-charm-red-enamel","10436324524322","52222119117090","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB70","Witch Hat Charm","witch-hat-charm","10436324491554","52222119084322","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB67","Feather Charm","feather-charm","10436324458786","52222119051554","Default Title","29.00","Orloff of Denmark","Charm"
"ORCB74","Elephant Charm, Blue Enamel","elephant-charm-blue-enamel","10436324589858","52222119182626","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB73","Lucky Cat Charm","lucky-cat-charm","10436324557090","52222119149858","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB78","Mother and Child Charm","mother-and-child-charm","10436324688162","52222119313698","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB77","Owl Charm, Gold Heart","owl-charm-gold-heart","10436324655394","52222119248162","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB76","Treasure Chest Charm","treasure-chest-charm","10436324622626","52222119215394","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB80","Sea Turtle Charm","sea-turtle-charm","10436324819234","52222119412002","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB79","Safety Chain","safety-chain","10436324786466","52222119379234","Default Title","49.00","Orloff of Denmark","Charm"
"ORCB82","Rainbow Heart Charm","rainbow-heart-charm","10436324884770","52222119477538","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB81","I Love You Heart Charm","i-love-you-heart-charm","10436324852002","52222119444770","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB85","Puppy Face Charm","puppy-face-charm","10436324983074","52222119575842","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB84","Dog Kennel Charm","dog-kennel-charm","10436324950306","52222119543074","Default Title","39.00","Orloff of Denmark","Charm"
"ORCB83","Corgi Charm","corgi-charm","10436324917538","52222119510306","Default Title","39.00","Orloff of Denmark","Charm"
