invoice_row,model_no,sku,handle,product_name,line,type,category,price_tier,retail_thb,cost_usd,weight_g,size_mm,material,metal_finish,stone,stock_qty,description_html,image_url_1,seo_title,seo_description,quote_text,notes
98,ORCB14,ORCB14,,,A,Charm,,,,3.77,1.36,18mm,925 Sterling Silver,Oxidized Silver,White CZ+Red &Blue Enamel,9,,,,,,Needs photography for visual identification before naming
99,ORCB15,ORCB15,,,A,Charm,,,,3.50,1.97,22mm,925 Sterling Silver,Oxidized Silver,Black Enamel,10,,,,,,Needs photography for visual identification before naming
100,ORCB16,ORCB16,,,A,Charm,,,,3.72,1.81,11mm,925 Sterling Silver,Oxidized Silver,Blue+ Pink Enamel,10,,,,,,Needs photography for visual identification before naming
101,ORCB17,ORCB17,,,A,Charm,,,,5.48,2.95,10mm,925 Sterling Silver,Oxidized Silver,Blue+ Pink Enamel,10,,,,,,Needs photography for visual identification before naming
102,ORCB18,ORCB18,,,A,Charm,,,,5.10,2.52,10.5mm,925 Sterling Silver,Oxidized Silver,Black+ Red +Yellow Enamel,9,,,,,,Needs photography for visual identification before naming
103,ORCB20,ORCB20,,,A,Charm,,,,3.28,1.64,21.5mm,925 Sterling Silver,Oxidized Silver,Purple Enamel,10,,,,,,Needs photography for visual identification before naming
104,ORCB21,ORCB21,,,A,Charm,,,,2.87,1.03,22mm,925 Sterling Silver,Oxidized Silver,Green CZ,10,,,,,,Needs photography for visual identification before naming
105,ORCB22,ORCB22,,,A,Charm,,,,4.59,2.23,10mm,925 Sterling Silver,Oxidized Silver,Pink+Yellow Enamel,10,,,,,,Needs photography for visual identification before naming
106,ORCB23,ORCB23,,,A,Charm,,,,3.52,1.29,17.5mm,925 Sterling Silver,Oxidized Silver,White CZ +Red &Yellow Enamel,10,,,,,,Needs photography for visual identification before naming
107,ORCB25,ORCB25,,,A,Charm,,,,4.07,2.01,12mm,925 Sterling Silver,Oxidized Silver,White CZ +Red &Yellow Enamel,10,,,,,,Needs photography for visual identification before naming
108,ORCB26,ORCB26,,,A,Charm,,,,3.93,1.79,10.5mm,925 Sterling Silver,Oxidized Silver,Red +Brown Enamel,10,,,,,,Needs photography for visual identification before naming
109,ORCB27,ORCB27,,,A,Charm,,,,4.99,2.64,12.5mm,925 Sterling Silver,Oxidized Silver,Pink CZ +Green &Yellow Enamel,10,,,,,,Needs photography for visual identification before naming
110,ORCB28,ORCB28,,,A,Charm,,,,2.76,1.11,13mm,925 Sterling Silver,Oxidized Silver,White CZ+Purple &Yellow Enamel,10,,,,,,Needs photography for visual identification before naming
111,ORCB29,ORCB29,,,A,Charm,,,,3.59,1.42,12mm,925 Sterling Silver,Oxidized Silver,White CZ,10,,,,,,Needs photography for visual identification before naming
112,ORCB30,ORCB30,,,A,Charm,,,,6.69,3.41,15mm,925 Sterling Silver,Rhodium &Rosegold,White CZ,10,,,,,,Needs photography for visual identification before naming
113,ORCB34,ORCB34,,,A,Charm,,,,5.03,2.1,11mm,925 Sterling Silver + AAAA CZ,Oxidized Silver+Highly,Stone: Pink & White,10,,,,,,Needs photography for visual identification before naming
114,ORCB35,ORCB35,,,A,Charm,,,,4.59,2.0,11mm,925 Sterling Silver + AAAA CZ,Oxidized Silver+Highly,Stone: White,10,,,,,,Needs photography for visual identification before naming
115,ORCB36,ORCB36,,,A,Charm,,,,7.22,3.8,12mm,925 Sterling Silver+AAAA CZ,Oxidized Silver+Highly,Stone: Multicolor,10,,,,,,Needs photography for visual identification before naming
116,ORCB37,ORCB37,,,A,Charm,,,,3.94,1.2,11mm,925 Sterling Silver+Enamel,Oxidized Silver+Highly,Stone:NA / Enamel:Light Blue&White,10,,,,,,Needs photography for visual identification before naming
117,ORCB38,ORCB38,,,A,Charm,,,,4.92,2.3,10mm,925 Sterling Silver+Enamel,Oxidized Silver+Highly,Stone:NA / Enamel:Light Blue,10,,,,,,Needs photography for visual identification before naming
118,ORCB39,ORCB39,,,A,Charm,,,,5.36,2.3,10mm,925 Sterling Silver+AAAA,Oxidized Silver+Highly,CZ+Enamel,10,,,,,,Needs photography for visual identification before naming
119,ORCB40,ORCB40,,,A,Charm,,,,4.27,1.8,26mm,925 Sterling Silver+Enamel,Oxidized Silver+Highly,Stone:NA / Enamel:Red,10,,,,,,Needs photography for visual identification before naming
120,ORCB41,ORCB41,,,A,Charm,,,,5.58,2.4,24mm,925 Sterling Silver+Enamel,Oxidized Silver+Highly,Stone:NA / Enamel: Blue,9,,,,,,Needs photography for visual identification before naming
121,ORCB42,ORCB42,,,A,Charm,,,,4.16,1.6,30mm,925 Sterling Silver+Enamel,Oxidized Silver+Highly,Stone:NA / Enamel:Pink,10,,,,,,Needs photography for visual identification before naming
122,ORCB43,ORCB43,,,A,Charm,,,,4.05,1.7,20mm,925 Sterling Silver+AAAA,Oxidized Silver+Highly,CZ+Enamel,10,,,,,,Needs photography for visual identification before naming
123,ORCB44,ORCB44,,,A,Charm,,,,4.92,1.7,20mm,925 Sterling Silver+AAAA CZ,Oxidized Silver+Highly,Stone:Pink,10,,,,,,Needs photography for visual identification before naming
124,ORCB45,ORCB45,,,A,Charm,,,,4.81,2.1,26mm,925 Sterling Silver+AAAA,Oxidized Silver+Highly,CZ+Enamel,10,,,,,,Needs photography for visual identification before naming
125,ORCB46,ORCB46,,,A,Charm,,,,5.14,2.1,27mm,925 Sterling Silver+Enamel,Oxidized Silver+Highly,Stone:NA / Enamel:Black,10,,,,,,Needs photography for visual identification before naming
126,ORCB47,ORCB47,,,A,Charm,,,,4.48,2.2,25mm,925 Sterling Silver+Enamel,Oxidized Silver+Highly,Stone:NA / Enamel:Brown,10,,,,,,Needs photography for visual identification before naming
127,ORCB48,ORCB48,,,A,Charm,,,,7.22,3.7,27mm,925 Sterling Silver+AAAA,Oxidized Silver+Highly,CZ+Enamel,10,,,,,,Needs photography for visual identification before naming
128,ORCB49,ORCB49,,,A,Charm,,,,6.34,3.1,22mm,925 Sterling Silver+AAAA CZ,Oxidized Silver+Highly,Stone:White,10,,,,,,Needs photography for visual identification before naming
129,ORCB50,ORCB50,,,A,Charm,,,,6.23,2.6,11mm,925 Sterling Silver+AAAA CZ,Oxidized Silver+Highly,Stone:Blue & Orange,10,,,,,,Needs photography for visual identification before naming
130,ORCB51,ORCB51,,,A,Charm,,,,7.88,4.1,12mm,925 Sterling Silver,Oxidized Silver+Highly,,10,,,,,,Needs photography for visual identification before naming
131,ORCB52,ORCB52,,,A,Charm,,,,4.16,1.2,22mm,925 Sterling Silver+AAAA,Oxidized Silver+Highly,CZ+Enamel,10,,,,,,Needs photography for visual identification before naming
132,ORCB53,ORCB53,,,A,Charm,,,,5.47,2.2,24mm,925 Sterling Silver+AAAA CZ+Shell,Oxidized Silver+Highly,Stone:White,10,,,,,,Needs photography for visual identification before naming
133,ORCB54,ORCB54,,,A,Charm,,,,5.91,2.6,23mm,925 Sterling Silver+AAAA CZ+Shell,Oxidized Silver+Highly,Stone:Black,10,,,,,,Needs photography for visual identification before naming
134,ORCB55,ORCB55,,,A,Charm,,,,5.35,1.83,30mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Muti-color,10,,,,,,Needs photography for visual identification before naming
135,ORCB56,ORCB56,,,A,Charm,,,,5.28,2.2,12mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Muti-color,10,,,,,,Needs photography for visual identification before naming
136,ORCB58,ORCB58,,,A,Charm,,,,4.01,1.3,25mm,925 Sterling Silver,Rhodium Plated,,9,,,,,,Needs photography for visual identification before naming
137,ORCB59,ORCB59,,,A,Charm,,,,4.27,2.07,11mm,925 Sterling Silver+ Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
138,ORCB60,ORCB60,,,A,Charm,,,,5.49,3.1,11mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,+Enamel,10,,,,,,Needs photography for visual identification before naming
139,ORCB61,ORCB61,,,A,Charm,,,,4.33,1.8,18mm,925 Sterling Silver,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
140,ORCB62,ORCB62,,,A,Charm,,,,5.62,2.3,25mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: White,10,,,,,,Needs photography for visual identification before naming
141,ORCB63,ORCB63,,,A,Charm,,,,4.77,2.17,10mm,925 Sterling Silver,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
142,ORCB64,ORCB64,,,A,Charm,,,,5.46,2.57,12mm,925 Sterling Silver+Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
143,ORCB65,ORCB65,,,A,Charm,,,,5.64,1.95,30mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,+Enamel,10,,,,,,Needs photography for visual identification before naming
144,ORCB66,ORCB66,,,A,Charm,,,,3.50,0.9,20mm,925 Sterling Silver+ Enamel,Rhodium Plated,,8,,,,,,Needs photography for visual identification before naming
145,ORCB67,ORCB67,,,A,Charm,,,,3.88,0.98,20mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: White,10,,,,,,Needs photography for visual identification before naming
146,ORCB70,ORCB70,,,A,Charm,,,,5.35,2.57,12mm,925 Sterling Silver+ Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
147,ORCB71,ORCB71,,,A,Charm,,,,4.13,1.55,20mm,925 Sterling Silver+ Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
148,ORCB73,ORCB73,,,A,Charm,,,,4.59,2.28,11mm,925 Sterling Silver+ Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
149,ORCB74,ORCB74,,,A,Charm,,,,5.13,2.9,14mm,925 Sterling Silver+ Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
150,ORCB76,ORCB76,,,A,Charm,,,,7.34,3.9,14mm,925 Sterling Silver+ Enamel,Rhodium Plated,,7,,,,,,Needs photography for visual identification before naming
151,ORCB77,ORCB77,,,A,Charm,,,,7.22,4.56,12mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,+Enamel,10,,,,,,Needs photography for visual identification before naming
152,ORCB78,ORCB78,,,A,Charm,,,,5.80,2.07,10mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: white,10,,,,,,Needs photography for visual identification before naming
153,ORCB79,ORCB79,,,A,Charm,,,,9.30,5,12mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: white,10,,,,,,Needs photography for visual identification before naming
154,ORCB80,ORCB80,,,A,Charm,,,,4.87,2,21mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Blue,10,,,,,,Needs photography for visual identification before naming
155,ORCB81,ORCB81,,,A,Charm,,,,4.59,2.35,9mm,925 Sterling Silver + AAAA,Rhodium Plated,CZ+Enamel,10,,,,,,Needs photography for visual identification before naming
156,ORCB82,ORCB82,,,A,Charm,,,,5.50,2.35,9mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Muti-color,10,,,,,,Needs photography for visual identification before naming
157,ORCB83,ORCB83,,,A,Charm,,,,5.21,2.5,12mm,925 Sterling Silver + AAAA,Rhodium Plated,CZ+Enamel,10,,,,,,Needs photography for visual identification before naming
158,ORCB84,ORCB84,,,A,Charm,,,,4.87,2.5,16mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Purple,10,,,,,,Needs photography for visual identification before naming
159,ORCB85,ORCB85,,,A,Charm,,,,4.81,2.5,11mm,925 Sterling Silver + Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
160,ORCB86,ORCB86,,,A,Charm,,,,5.69,2.3,21mm,925 Sterling Silver + Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
161,ORCB88,ORCB88,,,A,Charm,,,,3.36,2,12mm,925 Sterling Silver,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
162,ORCB89,ORCB89,,,A,Charm,,,,5.88,3,22mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Blue+Red,10,,,,,,Needs photography for visual identification before naming
163,ORCB100,ORCB100,,,A,Charm,,,,6.25,2.5,8mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: White+Purple,9,,,,,,Needs photography for visual identification before naming
164,ORCB101,ORCB101,,,A,Charm,,,,7.02,2.8,8mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Muti-color,10,,,,,,Needs photography for visual identification before naming
165,ORCB102,ORCB102,,,A,Charm,,,,6.46,2.5,10mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: White+Purple,10,,,,,,Needs photography for visual identification before naming
166,ORCB103,ORCB103,,,A,Charm,,,,7.02,2.8,22mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Muti-color,10,,,,,,Needs photography for visual identification before naming
167,ORCB104,ORCB104,,,A,Charm,,,,6.00,3,15mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: White+Red,8,,,,,,Needs photography for visual identification before naming
168,ORCB106,ORCB106,,,A,Charm,,,,5.17,2.5,13mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: White+Pink,10,,,,,,Needs photography for visual identification before naming
169,ORCB107,ORCB107,,,A,Charm,,,,6.13,2.5,11mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: White+Blue,9,,,,,,Needs photography for visual identification before naming
170,ORCB108,ORCB108,,,A,Charm,,,,4.26,1.5,21mm,925 Sterling Silver,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
171,ORCB110,ORCB110,,,A,Charm,,,,6.13,3.8,17mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Pink,10,,,,,,Needs photography for visual identification before naming
172,ORCB111,ORCB111,,,A,Charm,,,,5.46,2.2,12mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: White,10,,,,,,Needs photography for visual identification before naming
173,ORCB113,ORCB113,,,A,Charm,,,,6.30,2.2,13mm,925 Sterling Silver + Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
174,ORCB114,ORCB114,,,A,Charm,,,,5.19,2.2,10mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Pink,10,,,,,,Needs photography for visual identification before naming
175,ORCB115,ORCB115,,,A,Charm,,,,5.03,2.2,10mm,925 Sterling Silver,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
176,ORCB116,ORCB116,,,A,Charm,,,,6.35,3,12mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Blue,10,,,,,,Needs photography for visual identification before naming
177,ORCB117,ORCB117,,,A,Charm,,,,4.96,2.6,8mm,925 Sterling Silver + AAAA,Rhodium Plated,CZ+Enamel,10,,,,,,Needs photography for visual identification before naming
178,ORCB118,ORCB118,,,A,Charm,,,,6.68,2.3,17mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Muti-color,7,,,,,,Needs photography for visual identification before naming
179,ORCB119,ORCB119,,,A,Charm,,,,5.58,2.2,10mm,925 Sterling Silver,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
180,ORCB120,ORCB120,,,A,Charm,,,,5.40,1.5,14mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: White,10,,,,,,Needs photography for visual identification before naming
181,ORCB122,ORCB122,,,A,Charm,,,,5.25,2,11mm,925 Sterling Silver + AAAA CZ,Rose gold Plated,Stone: Black,8,,,,,,Needs photography for visual identification before naming
182,ORCB123,ORCB123,,,A,Charm,,,,7.00,2,15mm,925 Sterling Silver,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
183,ORCB124,ORCB124,,,A,Charm,,,,7.22,2.4,11mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Purple,10,,,,,,Needs photography for visual identification before naming
184,ORCB125,ORCB125,,,A,Charm,,,,5.03,2,9mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: White,9,,,,,,Needs photography for visual identification before naming
185,ORCB126,ORCB126,,,A,Charm,,,,3.43,1,10mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Green,10,,,,,,Needs photography for visual identification before naming
186,ORCB127,ORCB127,,,A,Charm,,,,4.59,1.9,15mm,925 Sterling Silver + Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
187,ORCB128,ORCB128,,,A,Charm,,,,6.80,2.5,12mm,925 Sterling Silver + AAAA,Rhodium Plated,CZ+Enamel,10,,,,,,Needs photography for visual identification before naming
188,ORCB129,ORCB129,,,A,Charm,,,,4.55,2,7mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Blue,9,,,,,,Needs photography for visual identification before naming
189,ORCB135,ORCB135,,,A,Charm,,,,4.97,1.8,16mm,925 Sterling Silver,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
190,ORCB136,ORCB136,,,A,Charm,,,,4.98,2.1,11mm,925 Sterling Silver + AAAA,Rhodium Plated,CZ+Enamel,10,,,,,,Needs photography for visual identification before naming
191,ORCB137,ORCB137,,,A,Charm,,,,6.07,3.2,11mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Muti-color,10,,,,,,Needs photography for visual identification before naming
192,ORCB138,ORCB138,,,A,Charm,,,,4.27,1.7,7mm,925 Sterling Silver,Rose gold Plated,,10,,,,,,Needs photography for visual identification before naming
193,ORCB139,ORCB139,,,A,Charm,,,,8.40,3.5,7mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Yellow+Green,9,,,,,,Needs photography for visual identification before naming
194,ORCB140,ORCB140,,,A,Charm,,,,4.69,2.4,12mm,925 Sterling Silver + Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
195,ORCB142,ORCB142,,,A,Charm,,,,5.23,2.6,20mm,925 Sterling Silver + Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
196,ORCB144,ORCB144,,,A,Charm,,,,5.69,2.7,15mm,925 Sterling Silver + Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
197,ORCB146,ORCB146,,,A,Charm,,,,4.20,1,11mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: White,10,,,,,,Needs photography for visual identification before naming
198,ORCB149,ORCB149,,,A,Charm,,,,4.51,1.7,18mm,925 Sterling Silver + Enamel,Rhodium Plated,,10,,,,,,Needs photography for visual identification before naming
199,ORCB150,ORCB150,,,A,Charm,,,,4.85,3,10mm,925 Sterling Silver,14K gold plated,,9,,,,,,Needs photography for visual identification before naming
200,ORCB151,ORCB151,,,A,Charm,,,,5.03,1.5,13mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: White,9,,,,,,Needs photography for visual identification before naming
201,ORCB152,ORCB152,,,A,Charm,,,,6.82,3,11mm,925 Sterling Silver + AAAA CZ,Rhodium Plated,Stone: Blue,10,,,,,,Needs photography for visual identification before naming
202,ORCB153,ORCB153,,,A,Charm,,,,5.47,2.30,10.5mm,925 Sterling Silver,Oxidized Silver,Pink CZ & White CZ + Green Enamel,10,,,,,,Needs photography for visual identification before naming
203,ORCB154,ORCB154,,,A,Charm,,,,5.47,2.40,12mm,925 Sterling Silver,Oxidized Silver,Red Enamel,10,,,,,,Needs photography for visual identification before naming
204,ORCB155,ORCB155,,,A,Charm,,,,4.59,1.80,12mm,925 Sterling Silver,Oxidized Silver,Green & Pink Enamel,10,,,,,,Needs photography for visual identification before naming
205,ORCB156,ORCB156,,,A,Charm,,,,5.03,2.30,11.5mm,925 Sterling Silver,Oxidized Silver,Red CZ,10,,,,,,Needs photography for visual identification before naming
206,ORCB157,ORCB157,,,A,Charm,,,,5.03,1.80,10mm,925 Sterling Silver,Oxidized Silver,White CZ & Red Enamel,9,,,,,,Needs photography for visual identification before naming
207,ORCB159,ORCB159,,,A,Charm,,,,5.03,2.20,13mm,925 Sterling Silver,Oxidized Silver,Enamel,10,,,,,,Needs photography for visual identification before naming
208,ORCB160,ORCB160,,,A,Charm,,,,5.03,2.10,9.5mm,925 Sterling Silver,Oxidized Silver,Light Green Enamel,10,,,,,,Needs photography for visual identification before naming
209,ORCB161,ORCB161,,,A,Charm,,,,5.47,2.40,11.5mm,925 Sterling Silver,Oxidized Silver,Red & Pink Enamel,10,,,,,,Needs photography for visual identification before naming
210,ORCB162,ORCB162,,,A,Charm,,,,4.38,1.50,13mm,925 Sterling Silver,Oxidized Silver,Green Enamel,9,,,,,,Needs photography for visual identification before naming
211,ORCB163,ORCB163,,,A,Charm,,,,5.47,2.20,18mm,925 Sterling Silver,Oxidized Silver,Pink & White CZ + Green & Pink &,10,,,,,,Needs photography for visual identification before naming
212,ORCB164,ORCB164,,,A,Charm,,,,4.59,2.10,9.5mm,925 Sterling Silver,Oxidized Silver,,10,,,,,,Needs photography for visual identification before naming
213,ORCB165,ORCB165,,,A,Charm,,,,4.59,1.70,12.5mm,925 Sterling Silver,Oxidized Silver,Milky Pink & Brown Enamel,10,,,,,,Needs photography for visual identification before naming
214,ORCB166,ORCB166,,,A,Charm,,,,4.81,1.80,15mm,925 Sterling Silver,Oxidized Silver,Green & Orange Enamel,10,,,,,,Needs photography for visual identification before naming
215,ORCB168,ORCB168,,,A,Charm,,,,5.03,2.10,12mm,925 Sterling Silver,Oxidized Silver,Black & Red Enamel,10,,,,,,Needs photography for visual identification before naming
216,ORCB169,ORCB169,,,A,Charm,,,,6.34,3.10,15mm,925 Sterling Silver,Oxidized Silver,Pink Enamel,10,,,,,,Needs photography for visual identification before naming
217,ORCB170,ORCB170,,,A,Charm,,,,4.59,2.00,14mm,925 Sterling Silver,Oxidized Silver,White & Blue CZ,9,,,,,,Needs photography for visual identification before naming
218,ORCB171,ORCB171,,,A,Charm,,,,5.03,2.40,13mm,925 Sterling Silver,Oxidized Silver,Green & Yellow & Pink & Purple CZ,10,,,,,,Needs photography for visual identification before naming
219,ORCB173,ORCB173,,,A,Charm,,,,5.69,2.50,10mm,925 Sterling Silver,Oxidized Silver,Blue Enamel,10,,,,,,Needs photography for visual identification before naming
220,ORCB174,ORCB174,,,A,Charm,,,,4.81,2.10,10mm,925 Sterling Silver,Oxidized Silver,,10,,,,,,Needs photography for visual identification before naming
221,ORCB175,ORCB175,,,A,Charm,,,,4.59,1.90,12mm,925 Sterling Silver,Oxidized Silver,,9,,,,,,Needs photography for visual identification before naming
222,ORCB176,,,,A,Charm,,,,7.22,2.60,11mm,925 Sterling Silver,Oxidized Silver,Green & White & Champange CZ,30,,,,,,"COLLISION: ORCB176 appears at rows 222 and 491, two different products. Unresolved."
223,ORCB177,ORCB177,,,A,Charm,,,,5.91,2.70,12.5mm,925 Sterling Silver,Oxidized Silver,Green & Orange Enamel,10,,,,,,Needs photography for visual identification before naming
224,ORCB179,ORCB179,,,A,Charm,,,,6.34,2.60,13mm,925 Sterling Silver,Oxidized Silver,Milky Green Enamel,10,,,,,,Needs photography for visual identification before naming
225,ORCB180,ORCB180,,,A,Charm,,,,5.03,1.70,12mm,925 Sterling Silver,Oxidized Silver,White CZ,15,,,,,,Needs photography for visual identification before naming
226,ORCB182,ORCB182,,,A,Charm,,,,5.69,2.70,11mm,925 Sterling Silver,Oxidized Silver,Blue & Yellow Enamel,16,,,,,,Needs photography for visual identification before naming
227,ORCBB01-17,ORCBB01-17,snake-chain-bracelet-17cm,"Snake Chain Bracelet, 17cm",A,Bracelet,,Base,,22.15,13.16,17 cm,925 Sterling Silver+AAAA CZ,,White CZ,44,,,,,,
228,ORCBB01-19,ORCBB01-19,snake-chain-bracelet-19cm,"Snake Chain Bracelet, 19cm",A,Bracelet,,Base,,23.95,14.40,19cm,925 Sterling Silver+AAAA CZ,,White CZ,44,,,,,,
229,ORCBB01-21,ORCBB01-21,snake-chain-bracelet-21cm,"Snake Chain Bracelet, 21cm",A,Bracelet,,Base,,26.85,16.50,21cm,925 Sterling Silver+AAAA CZ,,White CZ,46,,,,,,
230,ORCB183-A,ORCB183-A,letter-a-charm,Letter A Charm,A,Charm,Personal — Letters,Classic,,4.44,1.80,10.5mm,925 Sterling Silver,Oxidized Silver,,10,,,,,,
231,ORCB183-B,ORCB183-B,letter-b-charm,Letter B Charm,A,Charm,Personal — Letters,Classic,,4.44,1.70,,925 Sterling Silver,Oxidized Silver,,10,,,,,,Invoice Size field blank; series default 10.5mm unconfirmed
232,ORCB183-C,ORCB183-C,letter-c-charm,Letter C Charm,A,Charm,Personal — Letters,Classic,,4.22,1.50,,925 Sterling Silver,Oxidized Silver,,10,,,,,,Invoice Size field blank; series default 10.5mm unconfirmed
233,ORCB183-D,ORCB183-D,letter-d-charm,Letter D Charm,A,Charm,Personal — Letters,Classic,,4.67,1.80,,925 Sterling Silver,Oxidized Silver,,10,,,,,,Invoice Size field blank; series default 10.5mm unconfirmed
234,ORCB183-E,ORCB183-E,letter-e-charm,Letter E Charm,A,Charm,Personal — Letters,Classic,,4.44,1.70,,925 Sterling Silver,Oxidized Silver,,10,,,,,,Invoice Size field blank; series default 10.5mm unconfirmed
235,ORCB183-F,ORCB183-F,letter-f-charm,Letter F Charm,A,Charm,Personal — Letters,Classic,,4.44,1.70,,925 Sterling Silver,Oxidized Silver,,10,,,,,,Invoice Size field blank; series default 10.5mm unconfirmed
