"SKU","Parent Product SKU","Product Name","Category","Price Type","Unit","Tax-Inclusive Price","Min Price","Max Price","Cost","Supplier Price","Product Tags","Inventory Type","Track Stock Levels","Barcode","Variant Name 1","Variant Value 1","Variant Name 2","Variant Value 2","Variant Name 3","Variant Value 3","Supplier","Tax Name","Store Credits","Kitchen Station","ORLOFF OF DENMARK (BLUPORT)_Quantity","ORLOFF OF DENMARK (BLUPORT)_Warning Stock Level","ORLOFF OF DENMARK (BLUPORT)_Ideal Stock Level","Online Price","Online Discounted Price","Product Description"
"ORCB100","","Star Pave Charm, Purple","Sparkle & Classic","Fixed","","1200","","","212.50","","Sparkle & Classic;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","9","2","","1200","","Pave bead set with two purple star stones.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: White+Purple

Size: 8mm

Weight: 2.5g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB101","","Sweet Wrapper Charm","Travel & Lifestyle","Fixed","","1600","","","238.68","","Travel & Lifestyle;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1600","","Wrapped sweet with a spiral of yellow, purple and red stones.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: Muti-color

Size: 8mm

Weight: 2.8g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB102","","Star Charm, Purple Centre","Sparkle & Classic","Fixed","","1200","","","219.64","","Sparkle & Classic;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Pave star with a purple star stone at its centre.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: White+Purple

Size: 10mm

Weight: 2.5g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB103","","Rainbow Egg Charm","Sparkle & Classic","Fixed","","1600","","","238.68","","Sparkle & Classic;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1600","","Egg shaped dangle set with rainbow coloured stones.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: Muti-color

Size: 22mm

Weight: 2.8g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB104","","Ribbon Bow Charm, Red Heart","Milestones & Sentiment","Fixed","","1200","","","204.00","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","8","2","","1200","","Pave ribbon tied in a bow with a red heart stone dangle.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: White+Red

Size: 15mm

Weight: 3g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB106","","Angel Charm, Pink Heart","Milestones & Sentiment","Fixed","","1200","","","175.78","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Winged angel with a halo above a pink heart stone in a pave frame.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: White+Pink

Size: 13mm

Weight: 2.5g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB107","","Graduation Owl Charm","Milestones & Sentiment","Fixed","","1200","","","208.42","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","9","2","","1200","","Owl in a mortarboard with a blue pear stone and a small key.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: White+Blue

Size: 11mm

Weight: 2.5g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB108","","Unicorn Charm, Gold Mane","Animals","Fixed","","900","","","144.84","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Prancing unicorn with a gold horn, mane and tail.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Size: 21mm

Weight: 1.5g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB11","","Birthday Balloon Charm","Milestones & Sentiment","Fixed","","1200","","","178.16","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Balloon bead lettered birthday, black enamel spots, clear stones.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: Black+ Red Enamel

Size: 12.5mm

Weight: 2.62g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB110","","Princess Charm","Milestones & Sentiment","Fixed","","1200","","","208.42","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Girl in a gown set with pink stones, holding a heart wand.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: Pink

Size: 17mm

Weight: 3.8g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB111","","Butterfly Charm, Turquoise Spots","Animals","Fixed","","1200","","","185.64","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Pave butterfly with turquoise enamel spots and a beaded body.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: White

Size: 12mm

Weight: 2.2g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB113","","Puzzle Heart Charm, Multicolour","Milestones & Sentiment","Fixed","","1200","","","214.20","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Heart in blue, red, yellow and white puzzle pieces with a red piece dangling. Note this reads as the autism awareness motif; decide how you want it positioned.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Size: 13mm

Weight: 2.2g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB114","","Mom Heart Charm","Milestones & Sentiment","Fixed","","1200","","","176.46","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Heart lettered Mom with pink stone flowers and green enamel leaves.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: Pink

Size: 10mm

Weight: 2.2g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB115","","Stitched Heart Charm","Milestones & Sentiment","Fixed","","1200","","","171.02","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Polished heart laced with black stitching over red stones.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Size: 10mm

Weight: 2.2g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB116","","Heart Padlock Charm, Blue","Milestones & Sentiment","Fixed","","1200","","","215.90","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Blue enamel padlock with silver scrollwork, a blue heart stone and a key.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: Blue

Size: 12mm

Weight: 3g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB117","","Frangipani Charm, Yellow","Nature","Fixed","","1200","","","168.64","","Nature;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Five yellow enamel petals around a single clear stone.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: CZ+Enamel

Size: 8mm

Weight: 2.6g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB118","","Dreamcatcher Charm, Rainbow","Travel & Lifestyle","Fixed","","1600","","","227.12","","Travel & Lifestyle;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","7","2","","1600","","Openwork bead with rainbow stones and three silver feather drops.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: Muti-color

Size: 17mm

Weight: 2.3g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB119","","Graduation Charm","Milestones & Sentiment","Fixed","","1200","","","189.72","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Mortarboard and scroll lettered GRADUATION with a gold tassel.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Size: 10mm

Weight: 2.2g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB12","","Boy Charm","Milestones & Sentiment","Fixed","","900","","","120.36","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Boy figure dangle holding a heart set with clear stones.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: White CZ

Size: 21.5mm

Weight: 1.49g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB120","","Angel Wing Charm","Milestones & Sentiment","Fixed","","1200","","","183.60","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Single feathered wing in pave with a gold leading edge.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: White

Size: 14mm

Weight: 1.5g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB122","","Witch Hat Charm, Rose Gold","Milestones & Sentiment","Fixed","","1200","","","178.50","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","8","2","","1200","","Rose gold hat with black enamel stars and a star dangle.

Material: 925 Sterling Silver

Finish: Rose Gold Plated

Stone: Stone: Black

Size: 11mm

Weight: 2g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB123","","Horse Charm","Animals","Fixed","","1600","","","238.00","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1600","","Galloping horse with a brown enamel mane and tail, gold horseshoe bail.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Size: 15mm

Weight: 2g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB124","","Clover Charm, Purple","Nature","Fixed","","1600","","","245.48","","Nature;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1600","","Purple enamel clover among pave hearts.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: Purple

Size: 11mm

Weight: 2.4g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB125","","Basketball Charm","Travel & Lifestyle","Fixed","","1200","","","171.02","","Travel & Lifestyle;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","9","2","","1200","","Red enamel basketball with a pave heart on the seam.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: White

Size: 9mm

Weight: 2g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB126","","Cactus Charm","Nature","Fixed","","900","","","116.62","","Nature;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Cactus dangle set with green stones and a silver flower.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: Green

Size: 10mm

Weight: 1g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB127","","Rabbit and Strawberry Charm","Animals","Fixed","","1200","","","156.06","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Winking rabbit in a pink enamel basket with a red strawberry.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Size: 15mm

Weight: 1.9g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB128","","Ladybird Charm","Animals","Fixed","","1600","","","231.20","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1600","","Red enamel ladybird with black spots and a yellow pear stone.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: CZ+Enamel

Size: 12mm

Weight: 2.5g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB129","","Two Cats and Moon Charm","Animals","Fixed","","1200","","","154.70","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","9","2","","1200","","Pair of cats beside a crescent of blue stones.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: Blue

Size: 7mm

Weight: 2g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB13","","Girl Charm","Milestones & Sentiment","Fixed","","900","","","112.20","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","9","2","","900","","Girl figure dangle holding a basket, clear stones on the skirt.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: White CZ

Size: 20mm

Weight: 1.45g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB135","","Medical Chart Charm","Travel & Lifestyle","Fixed","","1200","","","168.98","","Travel & Lifestyle;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Clipboard with a stethoscope and red cross, gold heart dangle.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Size: 16mm

Weight: 1.8g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB136","","Camera Charm, Pink","Travel & Lifestyle","Fixed","","1200","","","169.32","","Travel & Lifestyle;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Pink enamel camera with a clear stone lens and flower detail.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: CZ+Enamel

Size: 11mm

Weight: 2.1g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB137","","Elephant Charm, Pink and Green","Animals","Fixed","","1200","","","206.38","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Elephant with pink pave ears and a green pave headdress.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: Muti-color

Size: 11mm

Weight: 3.2g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB138","","Lucky Clover Heart Charm","Milestones & Sentiment","Fixed","","900","","","145.18","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Rose gold heart lettered Lucky with a green enamel clover.

Material: 925 Sterling Silver

Finish: Rose Gold Plated

Size: 7mm

Weight: 1.7g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB139","","Sunflower Charm","Nature","Fixed","","1600","","","285.60","","Nature;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","9","2","","1600","","Faceted yellow stone in a petalled frame with green stone leaves.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: Yellow+Green

Size: 7mm

Weight: 3.5g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB14","","Couple in a Boat Charm","Milestones & Sentiment","Fixed","","900","","","128.18","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","9","2","","900","","Two figures in a boat with a red enamel heart and turquoise trim.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: White CZ+Red &Blue Enamel

Size: 18mm

Weight: 1.36g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB140","","Rainbow Charm","Nature","Fixed","","1200","","","159.46","","Nature;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Bands of coloured enamel with a white cloud.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Size: 12mm

Weight: 2.4g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB142","","Mermaid Charm","Animals","Fixed","","1200","","","177.82","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Mermaid dangle with a blue glitter tail and a pink flower in her hair.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Size: 20mm

Weight: 2.6g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB144","","Best Friends Charm","Milestones & Sentiment","Fixed","","1200","","","193.46","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Pink enamel heart lettered BFF with two yellow smiling faces.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Size: 15mm

Weight: 2.7g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB145","","Daisy Charm, Gold and White","Nature","Fixed","","1200","","","208.42","","Nature;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","15","2","","1200","","Gold and white enamel petals around a yellow stone.

Material: 925 Sterling Silver

Finish: 14K Gold Plated

Stone: CZ+Enamel

Size: 12mm

Weight: 2.3g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB146","","Ship's Wheel Charm","Travel & Lifestyle","Fixed","","900","","","142.80","","Travel & Lifestyle;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Ship's wheel framing a rose gold anchor and heart.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: White

Size: 11mm

Weight: 1g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB149","","Giraffe Charm","Animals","Fixed","","1200","","","153.34","","Animals;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Yellow enamel giraffe dangle with silver markings.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Size: 18mm

Weight: 1.7g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB15","","Footballer Charm","Travel & Lifestyle","Fixed","","900","","","119.00","","Travel & Lifestyle;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","900","","Boy in a cap holding a black and white enamel football.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: Black Enamel

Size: 22mm

Weight: 1.97g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB150","","Lucky Star Charm, Gold","Milestones & Sentiment","Fixed","","1200","","","164.90","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","9","2","","1200","","Gold star bead engraved you are my lucky star.

Material: 925 Sterling Silver

Finish: 14K Gold Plated

Size: 10mm

Weight: 3g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB151","","Sunflower Charm, Gold","Nature","Fixed","","1200","","","171.02","","Nature;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","9","2","","1200","","Gold petals around a pave centre.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: White

Size: 13mm

Weight: 1.5g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB152","","Stars and Moon Charm, Blue","Nature","Fixed","","1600","","","231.88","","Nature;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1600","","Cut-out stars and crescents with blue stones, engraved QUEEN.

Material: 925 Sterling Silver

Finish: Rhodium Plated

Stone: Stone: Blue

Size: 11mm

Weight: 3g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB153","","Flower Heart Charm","Milestones & Sentiment","Fixed","","1200","","","185.98","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Polished heart with pink stone flowers and green enamel leaves.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: Pink CZ & White CZ + Green Enamel

Size: 10.5mm

Weight: 2.30g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB154","","I Love My Family Charm","Milestones & Sentiment","Fixed","","1200","","","185.98","","Milestones & Sentiment;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Girl embracing a heart lettered I love my family.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: Red Enamel

Size: 12mm

Weight: 2.40g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
"ORCB155","","Cocktail Charm","Travel & Lifestyle","Fixed","","1200","","","156.06","","Travel & Lifestyle;Line A;925 Silver","Simple","1","","","","","","","","Zhuhai Rinntin Jewelry","","","Do Not Print Kitchen Docket","10","2","","1200","","Footed glass with a straw and a slice of fruit on the rim.

Material: 925 Sterling Silver

Finish: Oxidized Silver

Stone: Green & Pink Enamel

Size: 12mm

Weight: 1.80g

Fits all Orloff snake chain bracelets.

ORLOFF OF DENMARK."
