row_no,model_no,material,metal_finish,stone,size,weight_g,qty,unit_price_usd,total_price_usd,raw_desc
26,ORSWE07,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,32mm/1.26inch,3.80,17,8.86,150.62,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 32mm/1.26inch
27,ORSWE08,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,19mm/0.75inch,2.40,20,8.38,167.60,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 19mm/0.75inch
28,ORSWE09,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,13mm/0.51inch,2.9,20,7.37,147.40,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Pink | 13mm/0.51inch
29,ORSWE10,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,10mm/0.39inch,1.60,20,6.66,133.20,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 10mm/0.39inch
30,ORSWE11,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,11mm/0.43inch,1.7,15,4.77,71.55,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Green | 11mm/0.43inch
31,ORSWE12,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,12mm/0.47inch,2.40,15,7.53,112.95,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 12mm/0.47inch
32,ORSWE14-B,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal,21mm/0.83inch,2.1,15,6.84,102.60,925 Sterling Silver +Genuine | Swarovski Crystal | Metal: Rhodium Plated | Stone: Blue | 21mm/0.83inch
33,ORSWE14-F,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal,21mm/0.83inch,2.1,20,6.84,136.80,925 Sterling Silver +Genuine | Swarovski Crystal | Metal: Rhodium Plated | Stone: Pink | 21mm/0.83inch
34,ORSWE15,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal,10mm/0.39inch,2.30,15,5.48,82.20,925 Sterling Silver +Genuine | Swarovski Crystal | Metal: Rhodium Plated | Stone: as photo | 10mm/0.39inch
35,ORSWE16,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,19mm/0.75inch,2.70,15,8.42,126.30,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 19mm/0.75inch
36,ORSWB04-F,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,16.5cm/6.5inch,4.50,20,12.44,248.80,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Pink | 16.5cm/6.5inch
37,ORSWB04-B,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,16.5cm/6.5inch,4.50,19,12.44,236.36,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 16.5cm/6.5inch
38,ORSWB05,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,16cm/6.3inch,4.50,15,12.23,183.45,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 16cm/6.3inch
39,ORSWB06-B,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,16cm/6.3inch,4.50,20,12.88,257.60,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 16cm/6.3inch
40,ORSWB06-F,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,16cm/6.3inch,4.50,20,12.88,257.60,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Pink | 16cm/6.3inch
41,ORSWB06-P,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,16cm/6.3inch,4.50,19,12.88,244.72,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Purple | 16cm/6.3inch
42,ORSWB08,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,19.5cm/7.7inch,2.9,21,10.79,226.59,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 19.5cm/7.7inch
43,ORSWN05-G,925 Sterling Silver +Genuine,Metal: Gold Plated,Swarovski Crystal+AAAA CZ,40cm/15.7inch+6cm extender,3.00,20,8.20,164.00,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Gold Plated | Stone: Pink | 40cm/15.7inch+6cm extender
44,ORSWN05-P,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,40cm/15.7inch+6cm extender,3.50,20,8.20,164.00,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Pink | 40cm/15.7inch+6cm extender
45,ORSWN06-F,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,40cm/15.7inch+5cm extender,3.50,20,8.66,173.20,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Pink | 40cm/15.7inch+5cm extender
46,ORSWN06-B,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,40cm/15.7inch+5cm extender,3.50,18,8.66,155.88,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 40cm/15.7inch+5cm extender
47,ORSWN07,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,42cm/16.5inch+5cm extender,2.9,20,8.38,167.60,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 42cm/16.5inch+5cm extender
48,ORSWN08,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,40cm/15.7inch+5cm extender,2.8,20,8.16,163.20,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 40cm/15.7inch+5cm extender
49,ORSWE01-R,925 Sterling Silver +genuine,Metal: Rose Gold Plated,Swarovski crystal,25mm/0.98inch,1.7,19,5.60,106.40,925 Sterling Silver +genuine | Swarovski crystal | Metal: Rose Gold Plated | Stone: Blue | 25mm/0.98inch
50,ORSWE02-P,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal,6mmD/0.24inchD,0.90,20,4.17,83.40,925 Sterling Silver +genuine | Swarovski crystal | Metal: Rhodium Plated | Stone: green | 6mmD/0.24inchD
51,ORSWE03-P,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,8.6mm,1.30,20,5.40,108.00,925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Grey | 8.6mm
52,ORSWE04-P,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,8mm,0.80,20,5.07,101.40,925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 8mm
53,ORSWE05-P,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,20mm,2.1,15,6.93,103.95,925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 20mm
54,ORSWE06-B,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,9mm,1.2,19,4.29,81.51,925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 9mm
55,ORSWE06-F,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,9mm,1.2,15,4.29,64.35,925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Pink | 9mm
56,ORSWN01-P,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,pendant:13mm,2.20,20,7.53,150.60,"925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | chain:41+6cm/16+2.3inch, | pendant:13mm"
57,ORSWN02-P,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,pendant:8.5mm,1.7,20,6.44,128.80,"925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Grey | chain:41+6cm/16+2.3inch, | pendant:8.5mm"
58,ORSWN03-P,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,pendant:18mm,2.50,18,7.63,137.34,"925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | Chain:45cm+6cm/18inch+2.3inch, | pendant:18mm"
59,ORSWN04-B,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,pendant:12mm,2.8,19,6.96,132.24,"925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | Chain:45cm+6cm/18inch+2.3inch, | pendant:12mm"
60,ORSWN04-F,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,pendant:12mm,2.8,20,6.96,139.20,"925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Pink | Chain:45cm+6cm/18inch+2.3inch, | pendant:12mm"
61,ORSWN04-P,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,pendant:12mm,2.8,20,6.96,139.20,"925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Purple | Chain:45cm+6cm/18inch+2.3inch, | pendant:12mm"
62,ORSWN04-G,925 Sterling Silver +genuine,Metal: Rose Gold Plated,Swarovski crystal + AAAA CZ,pendant:12mm,2.8,20,6.96,139.20,"925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rose Gold Plated | Stone: Green | Chain:45cm+6cm/18inch+2.3inch, | pendant:12mm"
63,ORSWB01-P,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,16.5cm+3.8cm/6.5inch+1.5inch,4.90,20,13.23,264.60,925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 16.5cm+3.8cm/6.5inch+1.5inch
64,ORSWB02-P,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,16.5cm+3.8cm/6.5inch+1.5inch,2.30,20,7.08,141.60,925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 16.5cm+3.8cm/6.5inch+1.5inch
65,ORSWB03-B,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,16cm+4cm/6.3inch+1.6inch,3.20,20,8.71,174.20,925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 16cm+4cm/6.3inch+1.6inch
66,ORSWB03-F,925 Sterling Silver +genuine,Metal: Rhodium Plated,Swarovski crystal + AAAA CZ,16cm+4cm/6.3inch+1.6inch,3.20,20,8.71,174.20,925 Sterling Silver +genuine | Swarovski crystal + AAAA CZ | Metal: Rhodium Plated | Stone: Pink | 16cm+4cm/6.3inch+1.6inch
67,ORSWE17-F,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,17mm,1.30,20,6.10,122.00,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Pink | 17mm
68,ORSWE17-B,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,17mm,1.30,20,6.10,122.00,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | 17mm
69,ORSWN15,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,Chain:40cm+6cm Extender,2.60,20,8.41,168.20,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | Pendant:13mm | Chain:40cm+6cm Extender
70,ORSWN16,925 Sterling Silver +Genuine,Metal: Rhodium Plated,Swarovski Crystal+AAAA CZ,Chain:40cm+6cm Extender,3.10,19,8.30,157.70,925 Sterling Silver +Genuine | Swarovski Crystal+AAAA CZ | Metal: Rhodium Plated | Stone: Blue | Pendant:14mm | Chain:40cm+6cm Extender
71,ORSB42,Sterling Silver+AAA CZ,Metal: Rhodium plated,Main stone: Multicolor,9-22cm stone size:2mm,3.35,20,8.52,170.40,Sterling Silver+AAA CZ | Metal: Rhodium plated | Main stone: Multicolor | 9-22cm stone size:2mm
72,ORSB43,Sterling Silver+AAA CZ,Metal: Rhodium plated,Main stone: White,9-22cm stone size:2mm,3.41,20,7.71,154.20,Sterling Silver+AAA CZ | Metal: Rhodium plated | Main stone: White | 9-22cm stone size:2mm
73,ORSB61-16.5,925 Sterling Silver+AAA CZ,Metal: Rhodium Plated,Stone:White,16.5cmL /2mmW,4.23,20,9.41,188.20,925 Sterling Silver+AAA CZ | Metal: Rhodium Plated | Stone:White | 16.5cmL /2mmW
74,ORSB61-18,925 Sterling Silver+AAA CZ,Metal: Rhodium Plated,Stone:White,18cmL /2mmW,4.45,19,9.84,186.96,925 Sterling Silver+AAA CZ | Metal: Rhodium Plated | Stone:White | 18cmL /2mmW
75,ORSB62-16.5,925 Sterling Silver+AAA CZ,Metal: Rhodium Plated,Stone:multi-colors,16.5cmL /2mmW,4.05,19,11.05,209.95,925 Sterling Silver+AAA CZ | Metal: Rhodium Plated | Stone:multi-colors | 16.5cmL /2mmW
76,ORSB62-18,925 Sterling Silver+AAA CZ,Metal: Rhodium Plated,Stone:multi-colors,18cmL /2mmW,4.11,19,11.38,216.22,925 Sterling Silver+AAA CZ | Metal: Rhodium Plated | Stone:multi-colors | 18cmL /2mmW
77,"ORSB92-6.5""3.0",925 Sterling Silver + AAA CZ,Metal: Rhodium Plated,Stone: White,3mm CZ ; Length:16.5cm,5.90,19,10.61,201.59,925 Sterling Silver + AAA CZ | Metal: Rhodium Plated | Stone: White | 3mm CZ ; Length:16.5cm
78,"ORSB92-7""3.0",925 Sterling Silver + AAA CZ,Metal: Rhodium Plated,Stone: White,3mm CZ ; Length:18cm,6.35,19,11.16,212.04,925 Sterling Silver + AAA CZ | Metal: Rhodium Plated | Stone: White | 3mm CZ ; Length:18cm
79,"ORSB93-6.5""4.0",925 Sterling Silver + AAA CZ,Metal: Rhodium Plated,Stone: White,4mm CZ ; Length:16.5cm,7.90,20,13.34,266.80,925 Sterling Silver + AAA CZ | Metal: Rhodium Plated | Stone: White | 4mm CZ ; Length:16.5cm
80,"ORSB93-7""4.0",925 Sterling Silver + AAA CZ,Metal: Rhodium Plated,Stone: White,4mm CZ ; Length:18cm,8.40,19,13.56,257.64,925 Sterling Silver + AAA CZ | Metal: Rhodium Plated | Stone: White | 4mm CZ ; Length:18cm
81,"ORSB94-6.5""3.0",925 Sterling Silver + AAA CZ,Metal: Rhodium Plated,Stone: White,3mm CZ ; Length:16.5cm,6.02,15,11.70,175.50,925 Sterling Silver + AAA CZ | Metal: Rhodium Plated | Stone: White | 3mm CZ ; Length:16.5cm
82,"ORSB94-7""3.0",925 Sterling Silver + AAA CZ,Metal: Rhodium Plated,Stone: White,3mm CZ ; Length:18cm,6.54,16,12.91,206.56,925 Sterling Silver + AAA CZ | Metal: Rhodium Plated | Stone: White | 3mm CZ ; Length:18cm
83,"ORSB95-6.5""4.0",925 Sterling Silver + AAA CZ,Metal: Rhodium Plated,Stone: White,4mm CZ ; Length:16.5cm,8.56,13,15.97,207.61,925 Sterling Silver + AAA CZ | Metal: Rhodium Plated | Stone: White | 4mm CZ ; Length:16.5cm
84,"ORSB95-7""4.0",925 Sterling Silver + AAA CZ,Metal: Rhodium Plated,Stone: White,4mm CZ ; Length:18cm,9.16,14,17.28,241.92,925 Sterling Silver + AAA CZ | Metal: Rhodium Plated | Stone: White | 4mm CZ ; Length:18cm
85,ORCB01,925 Sterling Silver,Metal: Oxidized Silver,Black CZ + Blue Enamel,14.5mm * 7mm,1.55,10,3.75,37.50,925 Sterling Silver | Metal: Oxidized Silver | Black CZ + Blue Enamel | 14.5mm * 7mm
86,ORCB02,925 Sterling Silver,Metal: Oxidized Silver,Orange+Black+ Blue Enamel,12mm,1.69,10,3.84,38.40,925 Sterling Silver | Metal: Oxidized Silver | Orange+Black+ Blue Enamel | 12mm
87,ORCB03,925 Sterling Silver,Metal: Oxidized Silver,Black+ Red Enamel,13mm,2,10,4.03,40.30,925 Sterling Silver | Metal: Oxidized Silver | Black+ Red Enamel | 13mm
88,ORCB04,925 Sterling Silver,Metal: Oxidized Silver,White+ Red Enamel,11.5mm,2.79,10,4.38,43.80,925 Sterling Silver | Metal: Oxidized Silver | White+ Red Enamel | 11.5mm
89,ORCB05,925 Sterling Silver,Metal: Oxidized Silver,Black Enamel,13mm,2.84,10,5.12,51.20,925 Sterling Silver | Metal: Oxidized Silver | Black Enamel | 13mm
90,ORCB06,925 Sterling Silver,Metal:Rosegold plated,White Enamel,12mm,1.79,10,4.15,41.50,925 Sterling Silver | Metal:Rosegold plated | White Enamel | 12mm
91,ORCB07,925 Sterling Silver,Metal: Oxidized Silver,,8mm,1.18,10,2.92,29.20,925 Sterling Silver | Metal: Oxidized Silver | 8mm
92,ORCB08,925 Sterling Silver,Metal: Oxidized Silver,Black+ Pink Enamel,13.5mm,1.77,10,4.05,40.50,925 Sterling Silver | Metal: Oxidized Silver | Black+ Pink Enamel | 13.5mm
93,ORCB09,925 Sterling Silver,Metal: Oxidized Silver,White CZ+Black Enamel,12.5mm,2.06,10,4.42,44.19,925 Sterling Silver | Metal: Oxidized Silver | White CZ+Black Enamel | 12.5mm
94,ORCB10,925 Sterling Silver,Metal: Oxidized Silver,Stone :None,21mm,2.63,10,4.76,47.60,925 Sterling Silver | Metal: Oxidized Silver | Stone :None | 21mm
95,ORCB11,925 Sterling Silver,Metal: Oxidized Silver,Black+ Red Enamel,12.5mm,2.62,10,5.24,52.40,925 Sterling Silver | Metal: Oxidized Silver | Black+ Red Enamel | 12.5mm
96,ORCB12,925 Sterling Silver,Metal: Oxidized Silver,White CZ,21.5mm,1.49,10,3.54,35.40,925 Sterling Silver | Metal: Oxidized Silver | White CZ | 21.5mm
97,ORCB13,925 Sterling Silver,Metal: Oxidized Silver,White CZ,20mm,1.45,9,3.30,29.70,925 Sterling Silver | Metal: Oxidized Silver | White CZ | 20mm
98,ORCB14,925 Sterling Silver,Metal: Oxidized Silver,White CZ+Red &Blue Enamel,18mm,1.36,9,3.77,33.93,925 Sterling Silver | Metal: Oxidized Silver | White CZ+Red &Blue Enamel | 18mm
99,ORCB15,925 Sterling Silver,Metal: Oxidized Silver,Black Enamel,22mm,1.97,10,3.50,35.00,925 Sterling Silver | Metal: Oxidized Silver | Black Enamel | 22mm
100,ORCB16,925 Sterling Silver,Metal: Oxidized Silver,Blue+ Pink Enamel,11mm,1.81,10,3.72,37.20,925 Sterling Silver | Metal: Oxidized Silver | Blue+ Pink Enamel | 11mm
101,ORCB17,925 Sterling Silver,Metal: Oxidized Silver,Blue+ Pink Enamel,10mm,2.95,10,5.48,54.80,925 Sterling Silver | Metal: Oxidized Silver | Blue+ Pink Enamel | 10mm
102,ORCB18,925 Sterling Silver,Metal: Oxidized Silver,Black+ Red +Yellow Enamel,10.5mm,2.52,9,5.10,45.90,925 Sterling Silver | Metal: Oxidized Silver | Black+ Red +Yellow Enamel | 10.5mm
103,ORCB20,925 Sterling Silver,Metal: Oxidized Silver,Purple Enamel,21.5mm,1.64,10,3.28,32.80,925 Sterling Silver | Metal: Oxidized Silver | Purple Enamel | 21.5mm
104,ORCB21,925 Sterling Silver,Metal: Oxidized Silver,Green CZ,22mm,1.03,10,2.87,28.70,925 Sterling Silver | Metal: Oxidized Silver | Green CZ | 22mm
105,ORCB22,925 Sterling Silver,Metal: Oxidized Silver,Pink+Yellow Enamel,10mm,2.23,10,4.59,45.90,925 Sterling Silver | Metal: Oxidized Silver | Pink+Yellow Enamel | 10mm
106,ORCB23,925 Sterling Silver,Metal: Oxidized Silver,White CZ +Red &Yellow Enamel,17.5mm,1.29,10,3.52,35.20,925 Sterling Silver | Metal: Oxidized Silver | White CZ +Red &Yellow Enamel | 17.5mm
107,ORCB25,925 Sterling Silver,Metal: Oxidized Silver,White CZ +Red &Yellow Enamel,12mm,2.01,10,4.07,40.70,925 Sterling Silver | Metal: Oxidized Silver | White CZ +Red &Yellow Enamel | 12mm
108,ORCB26,925 Sterling Silver,Metal: Oxidized Silver,Red +Brown Enamel,10.5mm,1.79,10,3.93,39.30,925 Sterling Silver | Metal: Oxidized Silver | Red +Brown Enamel | 10.5mm
109,ORCB27,925 Sterling Silver,Metal: Oxidized Silver,Pink CZ +Green &Yellow Enamel,12.5mm,2.64,10,4.99,49.90,925 Sterling Silver | Metal: Oxidized Silver | Pink CZ +Green &Yellow Enamel | 12.5mm
