"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / Thailand","Price / Thailand","Compare At Price / Thailand","Included / International","Price / International","Compare At Price / International","Status"
"star-pave-charm-purple","Star Pave Charm, Purple","<p style=""font-family: Inter, sans-serif;"">Pave bead set with two purple star stones.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: White+Purple<br>
<strong>Size:</strong> 8mm<br>
<strong>Weight:</strong> 2.5g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Sparkle & Classic, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB100","2","shopify","9","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB100.jpg","1","Star Pave Charm, Purple","FALSE","Star Pave Charm, Purple | Orloff of Denmark","Pave bead set with two purple star stones.","","","","","","","","","","","","","","","g","","6.25","","","","","","","draft"
"sweet-wrapper-charm","Sweet Wrapper Charm","<p style=""font-family: Inter, sans-serif;"">Wrapped sweet with a spiral of yellow, purple and red stones.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: Muti-color<br>
<strong>Size:</strong> 8mm<br>
<strong>Weight:</strong> 2.8g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Travel & Lifestyle, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB101","3","shopify","10","deny","manual","49","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB101.jpg","1","Sweet Wrapper Charm","FALSE","Sweet Wrapper Charm | Orloff of Denmark","Wrapped sweet with a spiral of yellow, purple and red stones.","","","","","","","","","","","","","","","g","","7.02","","","","","","","draft"
"star-charm-purple-centre","Star Charm, Purple Centre","<p style=""font-family: Inter, sans-serif;"">Pave star with a purple star stone at its centre.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: White+Purple<br>
<strong>Size:</strong> 10mm<br>
<strong>Weight:</strong> 2.5g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Sparkle & Classic, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB102","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB102.jpg","1","Star Charm, Purple Centre","FALSE","Star Charm, Purple Centre | Orloff of Denmark","Pave star with a purple star stone at its centre.","","","","","","","","","","","","","","","g","","6.46","","","","","","","draft"
"rainbow-egg-charm","Rainbow Egg Charm","<p style=""font-family: Inter, sans-serif;"">Egg shaped dangle set with rainbow coloured stones.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: Muti-color<br>
<strong>Size:</strong> 22mm<br>
<strong>Weight:</strong> 2.8g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Sparkle & Classic, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB103","3","shopify","10","deny","manual","49","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB103.jpg","1","Rainbow Egg Charm","FALSE","Rainbow Egg Charm | Orloff of Denmark","Egg shaped dangle set with rainbow coloured stones.","","","","","","","","","","","","","","","g","","7.02","","","","","","","draft"
"ribbon-bow-charm-red-heart","Ribbon Bow Charm, Red Heart","<p style=""font-family: Inter, sans-serif;"">Pave ribbon tied in a bow with a red heart stone dangle.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: White+Red<br>
<strong>Size:</strong> 15mm<br>
<strong>Weight:</strong> 3g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB104","3","shopify","8","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB104.jpg","1","Ribbon Bow Charm, Red Heart","FALSE","Ribbon Bow Charm, Red Heart | Orloff of Denmark","Pave ribbon tied in a bow with a red heart stone dangle.","","","","","","","","","","","","","","","g","","6.00","","","","","","","draft"
"angel-charm-pink-heart","Angel Charm, Pink Heart","<p style=""font-family: Inter, sans-serif;"">Winged angel with a halo above a pink heart stone in a pave frame.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: White+Pink<br>
<strong>Size:</strong> 13mm<br>
<strong>Weight:</strong> 2.5g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB106","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB106.jpg","1","Angel Charm, Pink Heart","FALSE","Angel Charm, Pink Heart | Orloff of Denmark","Winged angel with a halo above a pink heart stone in a pave frame.","","","","","","","","","","","","","","","g","","5.17","","","","","","","draft"
"graduation-owl-charm","Graduation Owl Charm","<p style=""font-family: Inter, sans-serif;"">Owl in a mortarboard with a blue pear stone and a small key.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: White+Blue<br>
<strong>Size:</strong> 11mm<br>
<strong>Weight:</strong> 2.5g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB107","2","shopify","9","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB107.jpg","1","Graduation Owl Charm","FALSE","Graduation Owl Charm | Orloff of Denmark","Owl in a mortarboard with a blue pear stone and a small key.","","","","","","","","","","","","","","","g","","6.13","","","","","","","draft"
"unicorn-charm-gold-mane","Unicorn Charm, Gold Mane","<p style=""font-family: Inter, sans-serif;"">Prancing unicorn with a gold horn, mane and tail.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Size:</strong> 21mm<br>
<strong>Weight:</strong> 1.5g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB108","2","shopify","10","deny","manual","29","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB108.jpg","1","Unicorn Charm, Gold Mane","FALSE","Unicorn Charm, Gold Mane | Orloff of Denmark","Prancing unicorn with a gold horn, mane and tail.","","","","","","","","","","","","","","","g","","4.26","","","","","","","draft"
"birthday-balloon-charm","Birthday Balloon Charm","<p style=""font-family: Inter, sans-serif;"">Balloon bead lettered birthday, black enamel spots, clear stones.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Oxidized Silver<br>
<strong>Stone:</strong> Black+ Red Enamel<br>
<strong>Size:</strong> 12.5mm<br>
<strong>Weight:</strong> 2.62g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB11","3","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB11.jpg","1","Birthday Balloon Charm","FALSE","Birthday Balloon Charm | Orloff of Denmark","Balloon bead lettered birthday, black enamel spots, clear stones.","","","","","","","","","","","","","","","g","","5.24","","","","","","","draft"
"princess-charm","Princess Charm","<p style=""font-family: Inter, sans-serif;"">Girl in a gown set with pink stones, holding a heart wand.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: Pink<br>
<strong>Size:</strong> 17mm<br>
<strong>Weight:</strong> 3.8g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB110","4","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB110.jpg","1","Princess Charm","FALSE","Princess Charm | Orloff of Denmark","Girl in a gown set with pink stones, holding a heart wand.","","","","","","","","","","","","","","","g","","6.13","","","","","","","draft"
"butterfly-charm-turquoise-spots","Butterfly Charm, Turquoise Spots","<p style=""font-family: Inter, sans-serif;"">Pave butterfly with turquoise enamel spots and a beaded body.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: White<br>
<strong>Size:</strong> 12mm<br>
<strong>Weight:</strong> 2.2g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Animals, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB111","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB111.jpg","1","Butterfly Charm, Turquoise Spots","FALSE","Butterfly Charm, Turquoise Spots | Orloff of Denmark","Pave butterfly with turquoise enamel spots and a beaded body.","","","","","","","","","","","","","","","g","","5.46","","","","","","","draft"
"puzzle-heart-charm-multicolour","Puzzle Heart Charm, Multicolour","<p style=""font-family: Inter, sans-serif;"">Heart in blue, red, yellow and white puzzle pieces with a red piece dangling. Note this reads as the autism awareness motif; decide how you want it positioned.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Size:</strong> 13mm<br>
<strong>Weight:</strong> 2.2g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB113","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB113.jpg","1","Puzzle Heart Charm, Multicolour","FALSE","Puzzle Heart Charm, Multicolour | Orloff of Denmark","Heart in blue, red, yellow and white puzzle pieces with a red piece dangling.","","","","","","","","","","","","","","","g","","6.30","","","","","","","draft"
"mom-heart-charm","Mom Heart Charm","<p style=""font-family: Inter, sans-serif;"">Heart lettered Mom with pink stone flowers and green enamel leaves.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Stone:</strong> Stone: Pink<br>
<strong>Size:</strong> 10mm<br>
<strong>Weight:</strong> 2.2g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB114","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB114.jpg","1","Mom Heart Charm","FALSE","Mom Heart Charm | Orloff of Denmark","Heart lettered Mom with pink stone flowers and green enamel leaves.","","","","","","","","","","","","","","","g","","5.19","","","","","","","draft"
"stitched-heart-charm","Stitched Heart Charm","<p style=""font-family: Inter, sans-serif;"">Polished heart laced with black stitching over red stones.</p>

<p style=""font-family: Inter, sans-serif;""><strong>Material:</strong> 925 Sterling Silver<br>
<strong>Finish:</strong> Rhodium Plated<br>
<strong>Size:</strong> 10mm<br>
<strong>Weight:</strong> 2.2g</p>

<p style=""font-family: Inter, sans-serif;""><strong>Fits all Orloff snake chain bracelets.</strong></p>

<p style=""font-family: Inter, sans-serif;""><strong>ORLOFF OF DENMARK.</strong></p>","Orloff of Denmark","Apparel & Accessories > Jewelry > Charms & Pendants","Charm","Milestones & Sentiment, Line A, Charm Bracelet, 925 Silver","FALSE","","","","","","","ORCB115","2","shopify","10","deny","manual","39","","TRUE","TRUE","","https://cdn.shopify.com/s/files/1/0852/4428/1122/files/ORCB115.jpg","1","Stitched Heart Charm","FALSE","Stitched Heart Charm | Orloff of Denmark","Polished heart laced with black stitching over red stones.","","","","","","","","","","","","","","","g","","5.03","","","","","","","draft"
